time=3.51,T1=6.6,H1=48.1,T2=24.2,H2=28.0,V=4.15
time=3.56,T1=6.4,H1=47.9,T2=24.2,H2=28.0,V=4.15
time=3.60,T1=6.7,H1=48.2,T2=24.2,H2=28.0,V=4.15
3.65,T1=6.5,H1=48.0,T2=24.2,H2=28.0,V=4.15
time=3.69,T1=6.4,H1=47.9,T2=24.2,H2=28.0,V=4.15
time=3.73,T1=6.7,H1=48.2,T2=24.2,H2=28.1,V=4.15
time=3.78,T1=6.5,H1=48.0,T2=24.2,H2=28.1,V=4.15
time=3.82,T1=6.4,H1=47.9,T2=24.2,H2=28.0,V=4.15
time=3.87,T1=6.7,H1=48.2,T2=24.2,H2=28.0,V=4.15
time=3.91,T1=6.5,H1=48.0,T2=24.2,H2=28.0,V=4.15
time=3.95,T1=6.4,H1=47.9,T2=24.1,H2=28.0,V=4.15
time=4.00,T1=6.7,H1=48.2,T2=24.1,H2=28.0,V=4.15
time=4.04,T1=6.5,H1=48.0,T2=24.1,H2=28.0,V=4.15
time=4.08,T1=6.5,H1=48.0,T2=24.1,H2=28.0,V=4.15
time=4.13,T1=6.4,H1=47.9,T2=24.1,H2=28.0,V=4.15
time=4.17,T1=6.7,H1=48.2,T2=24.1,H2=28.0,V=4.15
4.22,T1=6.5,H1=48.0,T2=24.1,H2=28.0,V=4.15
time=4.26,T1=6.4,H1=47.9,T2=24.1,H2=28.0,V=4.15
time=4.30,T1=6.7,H1=48.2,T2=24.1,H2=28.0,V=4.15
time=4.35,T1=6.5,H1=48.0,T2=24.1,H2=28.0,V=4.15
time=4.39,T1=6.4,H1=47.9,T2=24.1,H2=28.0,V=4.15
time=4.44,T1=6.7,H1=48.2,T2=24.0,H2=27.9,V=4.15
time=4.48,T1=6.5,H1=48.0,T2=24.0,H2=28.0,V=4.15
time=4.52,T1=6.4,H1=47.9,T2=24.0,H2=27.9,V=4.15
time=4.57,T1=6.7,H1=48.2,T2=24.0,H2=28.1,V=4.15
time=4.61,T1=6.6,H1=48.1,T2=24.0,H2=28.1,V=4.15
time=4.66,T1=6.4,H1=47.9,T2=24.0,H2=28.0,V=4.15
time=4.70,T1=6.7,H1=48.2,T2=24.0,H2=28.1,V=4.15
time=4.74,T1=6.5,H1=48.0,T2=24.0,H2=28.1,V=4.15
time=4.79,T1=6.5,H1=48.0,T2=24.0,H2=28.1,V=4.15
time=4.83,T1=6.4,H1=47.9,T2=24.0,H2=28.1,V=4.15
time=4.88,T1=6.7,H1=48.2,T2=24.0,H2=28.1,V=4.15
time=4.92,T1=6.6,H1=48.0,T2=24.0,H2=28.2,V=4.15
time=4.96,T1=6.4,H1=47.9,T2=24.0,H2=28.2,V=4.15
time=5.01,T1=6.7,H1=48.2,T2=24.0,H2=28.2,V=4.15
time=5.05,T1=6.5,H1=48.0,T2=24.0,H2=28.2,V=4.15
time=5.14,T1=6.7,H1=48.2,T2=24.0,H2=28.3,V=4.15
time=5.18,T1=6.6,H1=48.1,T2=24.0,H2=28.3,V=4.15
time=5.23,T1=6.4,H1=47.9,T2=24.0,H2=28.3,V=4.15
time=5.27,T1=6.7,H1=48.2,T2=23.9,H2=28.2,V=4.15
time=5.31,T1=6.4,H1=47.9,T2=23.9,H2=28.3,V=4.15
time=5.36,T1=6.7,H1=48.2,T2=24.0,H2=28.4,V=4.15
time=5.40,T1=6.5,H1=48.0,T2=23.9,H2=28.4,V=4.15
time=5.45,T1=6.4,H1=47.9,T2=23.9,H2=28.4,V=4.15
time=5.49,T1=6.7,H1=48.3,T2=23.9,H2=28.4,V=4.15
time=5.53,T1=6.4,H1=48.0,T2=23.9,H2=28.4,V=4.15
time=5.58,T1=6.4,H1=48.0,T2=23.9,H2=28.4,V=4.15
time=5.62,T1=6.5,H1=48.1,T2=23.9,H2=28.4,V=4.15
time=5.67,T1=6.7,H1=48.3,T2=23.9,H2=28.4,V=4.15
time=5.71,T1=6.5,H1=48.0,T2=23.9,H2=28.4,V=4.15
time=5.75,T1=6.4,H1=47.9,T2=23.9,H2=28.4,V=4.15
time=5.80,T1=6.8,H1=48.3,T2=23.9,H2=28.4,V=4.15
time=5.84,T1=6.4,H1=47.9,T2=23.9,H2=28.5,V=4.15
time=5.89,T1=6.4,H1=47.9,T2=23.9,H2=28.5,V=4.15
time=5.93,T1=6.4,H1=47.9,T2=23.9,H2=28.5,V=4.15
time=5.97,T1=6.7,H1=48.2,T2=23.8,H2=28.5,V=4.15
time=6.02,T1=6.5,H1=48.0,T2=23.8,H2=28.5,V=4.15
time=6.06,T1=6.4,H1=47.9,T2=23.8,H2=28.5,V=4.15
time=6.11,T1=6.4,H1=47.9,T2=23.8,H2=28.5,V=4.15
time=6.15,T1=6.7,H1=48.3,T2=23.8,H2=28.6,V=4.15
time=6.19,T1=6.4,H1=48.0,T2=23.8,H2=28.5,V=4.14
time=6.24,T1=6.4,H1=48.1,T2=23.8,H2=28.5,V=4.15
time=6.28,T1=6.4,H1=48.3,T2=23.8,H2=28.5,V=4.14
time=6.32,T1=6.4,H1=48.3,T2=23.8,H2=28.6,V=4.14
time=6.37,T1=6.4,H1=48.3,T2=23.8,H2=28.5,V=4.14
time=6.41,T1=6.4,H1=48.4,T2=23.8,H2=28.6,V=4.14
time=6.46,T1=6.4,H1=48.4,T2=23.8,H2=28.6,V=4.14
time=6.50,T1=6.4,H1=48.5,T2=23.8,H2=28.6,V=4.15
time=6.59,T1=6.5,H1=48.7,T2=23.7,H2=28.5,V=4.14
time=6.63,T1=6.5,H1=48.7,T2=23.8,H2=28.6,V=4.14
time=6.68,T1=6.5,H1=48.7,T2=23.7,H2=28.6,V=4.14
time=6.72,T1=6.5,H1=48.7,T2=23.7,H2=28.6,V=4.14
time=6.76,T1=6.4,H1=48.6,T2=23.7,H2=28.6,V=4.14
time=6.81,T1=6.6,H1=48.8,T2=23.7,H2=28.6,V=4.14
time=6.85,T1=6.6,H1=48.8,T2=23.7,H2=28.6,V=4.14
time=6.90,T1=6.5,H1=48.6,T2=23.7,H2=28.6,V=4.14
time=6.94,T1=6.4,H1=48.4,T2=23.7,H2=28.7,V=4.14
time=6.98,T1=6.4,H1=48.4,T2=23.7,H2=28.7,V=4.14
time=7.03,T1=6.4,H1=48.4,T2=23.7,H2=28.7,V=4.14
time=7.07,T1=6.4,H1=48.3,T2=23.7,H2=28.7,V=4.14
time=7.12,T1=6.4,H1=48.3,T2=23.7,H2=28.7,V=4.14
time=7.16,T1=6.4,H1=48.3,T2=23.7,H2=28.7,V=4.14
time=7.20,T1=6.4,H1=48.2,T2=23.7,H2=28.7,V=4.14
time=7.25,T1=6.4,H1=48.2,T2=23.7,H2=28.7,V=4.14
time=7.29,T1=6.4,H1=48.0,T2=23.7,H2=28.7,V=4.14
time=7.33,T1=6.6,H1=48.2,T2=23.7,H2=28.7,V=4.14
time=7.38,T1=6.4,H1=47.9,T2=23.7,H2=28.7,V=4.14
time=7.47,T1=6.6,H1=48.0,T2=23.7,H2=28.7,V=4.14
time=7.51,T1=6.4,H1=47.8,T2=23.7,H2=28.7,V=4.14
time=7.55,T1=6.4,H1=47.8,T2=23.7,H2=28.8,V=4.14
time=7.60,T1=6.4,H1=47.8,T2=23.7,H2=28.8,V=4.14
time=7.64,T1=6.4,H1=47.8,T2=23.7,H2=28.8,V=4.14
time=7.69,T1=6.4,H1=47.8,T2=23.7,H2=28.8,V=4.14
time=7.73,T1=6.4,H1=47.8,T2=23.7,H2=28.8,V=4.14
time=7.77,T1=6.4,H1=47.8,T2=23.7,H2=28.9,V=4.14
time=7.82,T1=6.4,H1=47.8,T2=23.6,H2=28.8,V=4.14
time=7.86,T1=6.4,H1=47.9,T2=23.6,H2=28.8,V=4.14
time=7.91,T1=6.4,H1=47.8,T2=23.7,H2=28.9,V=4.14
time=7.95,T1=6.4,H1=47.9,T2=23.6,H2=28.9,V=4.14
time=7.99,T1=6.4,H1=47.9,T2=23.7,H2=29.0,V=4.14
time=8.04,T1=6.4,H1=47.9,T2=23.6,H2=28.9,V=4.14
time=8.08,T1=6.4,H1=47.9,T2=23.6,H2=28.9,V=4.14
time=8.13,T1=6.4,H1=47.9,T2=23.6,H2=28.9,V=4.14
time=8.17,T1=6.4,H1=47.9,T2=23.6,H2=28.9,V=4.14
time=8.21,T1=6.4,H1=48.1,T2=23.6,H2=28.9,V=4.14
time=8.26,T1=6.4,H1=48.2,T2=23.6,H2=29.0,V=4.14
time=8.30,T1=6.4,H1=48.2,T2=23.6,H2=29.0,V=4.14
time=8.34,T1=6.4,H1=48.2,T2=23.6,H2=29.0,V=4.14
time=8.39,T1=6.4,H1=48.3,T2=23.6,H2=29.0,V=4.14
time=8.43,T1=6.4,H1=48.3,T2=23.6,H2=29.1,V=4.14
time=8.48,T1=6.4,H1=48.3,T2=23.6,H2=29.1,V=4.14
time=8.52,T1=6.3,H1=48.2,T2=23.6,H2=29.0,V=4.14
time=8.57,T1=6.4,H1=48.3,T2=23.6,H2=28.9,V=4.14
